Animal Id,Animal Type,Source Id,Council District,Intake Type,Intake Total,Staff Id,Intake Date,Intake Condition,Outcome Type,Outcome Date,Outcome Condition,Chip Status,Animal Origin,Month,Year
A1129042,WILDLIFE,P0969787,,OWNER SURRENDER,1,JCB,09/08/2021,APP WNL,ADOPTION,09/12/2021,APP WNL,SCAN NO CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1127124,DOG,P0966978,AS,STRAY,1,JRM1702,08/08/2021,APP WNL,ADOPTION,08/23/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1126122,CAT,P0965625,4,STRAY,1,SKB8461,07/24/2021,APP WNL,ADOPTION,08/23/2021,APP WNL,SCAN NO CHIP,FIELD,JUL.2021,FY2021
A1129974,DOG,P0971169,3,STRAY,1,MMK1748,09/22/2021,APP WNL,ADOPTION,10/13/2021,APP WNL,SCAN NO CHIP,FIELD,SEP.2021,FY2021
A1127944,DOG,P0812909,9,STRAY,1,JJV,08/20/2021,APP WNL,ADOPTION,08/23/2021,APP WNL,SCAN NO CHIP,OVER THE COUNTER,AUG.2021,FY2021
A1127816,DOG,P0707282,2,STRAY,1,VSB8465,08/18/2021,APP WNL,ADOPTION,08/23/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1127844,CAT,P0967974,2,STRAY,1,KCB8445,08/19/2021,APP INJ,SNR,08/23/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1127990,WILDLIFE,P0968184,10,CONFISCATED,1,KCB8445,08/21/2021,APP WNL,TRANSFER,08/23/2021,APP WNL,UNABLE TO SCAN,FIELD,AUG.2021,FY2021
A1127991,WILDLIFE,P0968184,10,CONFISCATED,1,KCB8445,08/21/2021,APP WNL,TRANSFER,08/23/2021,APP WNL,UNABLE TO SCAN,FIELD,AUG.2021,FY2021
A1130007,WILDLIFE,P0920704,8,WILDLIFE,1,VSB8465,09/22/2021,DECEASED,DISPOSAL,09/23/2021,DECEASED,WILDLIFE - UNABLE TO SCAN,FIELD,SEP.2021,FY2021
A1127138,CAT,P0966766,10,OWNER SURRENDER,1,MLM1701,08/08/2021,APP WNL,ADOPTION,10/13/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
A1068943,DOG,P0954279,,OWNER SURRENDER,1,JJV,09/04/2021,APP WNL,ADOPTION,10/13/2021,APP WNL,SCAN CHIP,OVER THE COUNTER,SEP.2021,FY2021
A1127569,DOG,P0967583,2,CONFISCATED,1,ROB1772,08/14/2021,APP WNL,RETURNED TO OWNER,08/24/2021,APP WNL,SCAN CHIP,FIELD,AUG.2021,FY2021
A1127758,DOG,P0967871,10,STRAY,1,KCB8445,08/18/2021,APP WNL,RETURNED TO OWNER,08/24/2021,APP WNL,SCAN NO CHIP,FIELD,AUG.2021,FY2021
